Date,Hour,Value
1 Apr,0,12
1 Apr,1,13
1 Apr,2,13
1 Apr,3,14
1 Apr,4,13
1 Apr,5,14
1 Apr,6,13
1 Apr,7,16
1 Apr,8,14
1 Apr,9,18
1 Apr,10,20
1 Apr,11,21
1 Apr,12,24
1 Apr,13,17
1 Apr,14,21
1 Apr,15,17
1 Apr,16,20
1 Apr,17,18
1 Apr,18,14
1 Apr,19,10
1 Apr,20,9
1 Apr,21,6
1 Apr,22,5
1 Apr,23,6
2 Apr,0,7
2 Apr,1,5
2 Apr,2,8
2 Apr,3,6
2 Apr,4,5
2 Apr,5,6
2 Apr,6,2
2 Apr,7,6
2 Apr,8,8
2 Apr,9,10
2 Apr,10,10
2 Apr,11,8
2 Apr,12,10
2 Apr,13,9
2 Apr,14,12
2 Apr,15,13
2 Apr,16,8
2 Apr,17,15
2 Apr,18,3
2 Apr,19,3
2 Apr,20,3
2 Apr,21,2
2 Apr,22,2
2 Apr,23,1
3 Apr,0,0
3 Apr,1,2
3 Apr,2,3
3 Apr,3,2
3 Apr,4,2
3 Apr,5,3
3 Apr,6,2
3 Apr,7,2
3 Apr,8,2
3 Apr,9,6
3 Apr,10,7
3 Apr,11,5
3 Apr,12,8
3 Apr,13,8
3 Apr,14,10
3 Apr,15,7
3 Apr,16,9
3 Apr,17,8
3 Apr,18,8
3 Apr,19,7
3 Apr,20,5
3 Apr,21,9
3 Apr,22,9
3 Apr,23,8
4 Apr,0,12
4 Apr,1,13
4 Apr,2,13
4 Apr,3,13
4 Apr,4,14
4 Apr,5,16
4 Apr,6,17
4 Apr,7,15
4 Apr,8,17
4 Apr,9,16
4 Apr,10,15
4 Apr,11,12
4 Apr,12,14
4 Apr,13,15
4 Apr,14,12
4 Apr,15,15
4 Apr,16,15
4 Apr,17,17
4 Apr,18,13
4 Apr,19,14
4 Apr,20,15
4 Apr,21,12
4 Apr,22,13
4 Apr,23,12
5 Apr,0,14
5 Apr,1,13
5 Apr,2,12
5 Apr,3,10
5 Apr,4,8
5 Apr,5,12
5 Apr,6,10
5 Apr,7,13
5 Apr,8,14
5 Apr,9,17
5 Apr,10,13
5 Apr,11,14
5 Apr,12,15
5 Apr,13,13
5 Apr,14,15
5 Apr,15,16
5 Apr,16,15
5 Apr,17,16
5 Apr,18,17
5 Apr,19,18
5 Apr,20,14
5 Apr,21,15
5 Apr,22,12
5 Apr,23,14
6 Apr,0,14
6 Apr,1,15
6 Apr,2,14
6 Apr,3,13
6 Apr,4,16
6 Apr,5,16
6 Apr,6,15
6 Apr,7,17
6 Apr,8,12
6 Apr,9,17
6 Apr,10,16
6 Apr,11,20
6 Apr,12,16
6 Apr,13,20
6 Apr,14,21
6 Apr,15,16
6 Apr,16,18
6 Apr,17,16
6 Apr,18,14
6 Apr,19,16
6 Apr,20,18
6 Apr,21,15
6 Apr,22,18
6 Apr,23,20
7 Apr,0,21
7 Apr,1,23
7 Apr,2,18
7 Apr,3,20
7 Apr,4,20
7 Apr,5,16
7 Apr,6,16
7 Apr,7,23
7 Apr,8,24
7 Apr,9,25
7 Apr,10,32
7 Apr,11,32
7 Apr,12,33
7 Apr,13,32
7 Apr,14,28
7 Apr,15,26
7 Apr,16,26
7 Apr,17,24
7 Apr,18,23
7 Apr,19,18
7 Apr,20,13
7 Apr,21,10
7 Apr,22,7
7 Apr,23,6
8 Apr,0,3
8 Apr,1,7
8 Apr,2,3
8 Apr,3,2
8 Apr,4,1
8 Apr,5,2
8 Apr,6,1
8 Apr,7,1
8 Apr,8,2
8 Apr,9,5
8 Apr,10,7
8 Apr,11,6
8 Apr,12,6
8 Apr,13,7
8 Apr,14,12
8 Apr,15,14
8 Apr,16,14
8 Apr,17,14
8 Apr,18,10
8 Apr,19,6
8 Apr,20,3
8 Apr,21,8
8 Apr,22,12
8 Apr,23,6
9 Apr,0,7
9 Apr,1,6
9 Apr,2,5
9 Apr,3,6
9 Apr,4,6
9 Apr,5,3
9 Apr,6,3
9 Apr,7,5
9 Apr,8,8
9 Apr,9,9
9 Apr,10,13
9 Apr,11,10
9 Apr,12,14
9 Apr,13,14
9 Apr,14,15
9 Apr,15,14
9 Apr,16,10
9 Apr,17,8
9 Apr,18,7
9 Apr,19,5
9 Apr,20,3
9 Apr,21,3
9 Apr,22,3
9 Apr,23,3
10 Apr,0,2
10 Apr,1,1
10 Apr,2,2
10 Apr,3,3
10 Apr,4,2
10 Apr,5,1
10 Apr,6,1
10 Apr,7,1
10 Apr,8,2
10 Apr,9,5
10 Apr,10,7
10 Apr,11,9
10 Apr,12,8
10 Apr,13,7
10 Apr,14,9
10 Apr,15,9
10 Apr,16,9
10 Apr,17,8
10 Apr,18,8
